route_name,route_long,headsign,saccos
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,Tusker,DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
16/62,Bus Station-Rounda-Dandora-Kayole,Bus station,DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
3738,Rounda-Saika-Ruai,Rounder,UNMATCHED
6E,Church Army-Biafra-Joster,Church Army,UNMATCHED
10,Muthurwa-Makadara-Maringo,Muthurwa,HIMOSA TRAVELLERS SACCO
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mama Lucy,FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD | MWIKI PSV SACCO
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,Gill House,BURUBURU 58 TRAVELLERS SACCO LTD | CBET SACCO | DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD
26,Makadara-Harambee-Outering-Kariobangi,Makadara,DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD
26S,Aquinas-Jerusalem-Outering-Kariobangi,Makadara,DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD
33DP,Muthurwa-Donholm-Pipeline,Muthurwa,HIMOSA TRAVELLERS SACCO
33DC,Donholm-Rounda-Carbanas,Donholm,UNMATCHED
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,Commercial,CBET SACCO
33C,Commercial-Jogoo Road-Pipeline-Cabanas,Commercial,CBET SACCO
34J,Ambassadeur-Donholm-Rounda-JKIA,Ambassadeur,EMBASSAVA SACCO LTD
36,City Stadium-Buruburu-Kwa Mbao-Dandora,City Stadium,BURUBURU 58 TRAVELLERS SACCO LTD | CBET SACCO | DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
58,Ambassadeur-Jogoo Road-Buruburu,Ambassadeur,BURUBURU 58 TRAVELLERS SACCO LTD | CBET SACCO
17A,Rounda-Umoja 2-Kayole,Rounda,FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD | UMOINNER SACCO LTD
19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,Town,CBET SACCO
19C2,Donholm-Caltex-Komarocks,Donholm,UNMATCHED
34B,Ambassadeur-Donholm-Jacaranda,Ambassadeur,UNMATCHED
69,Muthurwa-Hillocks-GM,Muthurwa,HIMOSA TRAVELLERS SACCO
405,City Stadium-Nyayo Stadium,City Stadium,UNMATCHED
1960,OTC-Donholm-Kayole,Kamukunji,FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,OTC,CBET SACCO | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
1961Kd,Caltex Donholm-Jacaranda-Kayole,Donholm,FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
35/60,Town-Donholm-Umoja,Tusker,UMOINNER SACCO LTD
3560_2,Donholm-Mutindwa-Umoja 2,Donholm,UMOINNER SACCO LTD
39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Tusker,CBET SACCO | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
38/39,Town-Donholm-Njiru-Ruai,Muthurwa,HIMOSA TRAVELLERS SACCO
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,Muthurwa,HIMOSA TRAVELLERS SACCO
11,Bus Station-Industrial Area-South B-Hazina,Bus Station,12C TRANSPORT SACCO LTD | INDIMA (NJE) SACCO
11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Bus Station,12C TRANSPORT SACCO LTD | INDIMA (NJE) SACCO
15,Bus Station-Nyayo Stadium-Wilson-Langata,Bus Station,UNMATCHED
16,Bus Station-Nyayo Stadium-T Mall-Highrise,Bus Station,UNMATCHED
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Karen,UNMATCHED
24BK,Bomas-Karen Hospital-Karen,Bomas,UNMATCHED
33IMR,Commercial-Belleview-Imara Daima,Commercial,UNMATCHED
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,Commercial,INDIMA (NJE) SACCO
33J,Cabanas-Utawala-Githunguri,Cabanas,KANI TRANSPORT SACCO LTD | TAWALA UTAWALA SACCO
33H,Cabanas-Utawala-Bypass,Cabanas,KANI TRANSPORT SACCO LTD | TAWALA UTAWALA SACCO
33UTW,Utawala-Ambassadeur,Ambassadeur,KANI TRANSPORT SACCO LTD | TAWALA UTAWALA SACCO
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,Commercial,INDIMA (NJE) SACCO
110,Railways-Mombasa Road-Mlolongo-Kitengela,Railways Uchumi,INDIMA (NJE) SACCO
110AK,Athi River-Makadara-Kitengela,Devki Athiriver,UNMATCHED
110ATH,Railways-Mombasa Road-Devki-Makadara,Railways Uchumi,INDIMA (NJE) SACCO
125,Railways-Langata Road-Bomas-Ongata Rongai,Railways,UNMATCHED
126,Railways-Langata Road-Ongata Rongai-Kiserian,Railways,UNMATCHED
126RK,Ongata Rongai-Nkoroi-Kiserian,Ongata Rongai,UNMATCHED
12C,Bus Station-Red Cross-Mugoya,Bus Station,12C TRANSPORT SACCO LTD
12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,Bus Station,12C TRANSPORT SACCO LTD
145B,Bypass-Ruiru Ndani-Ruiru,Bypass,LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
14A,Bus Station-Nairobi West-Madaraka-Strathmore,Bus Station,UNMATCHED
14B,Bus Station-Nairobi West-TMall,Bus Station,UNMATCHED
33FED,Commercial-Cabanas-Tuskys-Village-Gate A-Posta,Commercial,UNMATCHED
33B,Commercial-Cabanas-Baraka,Commercial,UNMATCHED
46K,Kencom-Valley Road-Yaya Centre-Kawangware,Kencom,HURUMA 46 SACCO LTD
46Y,Kencom-Valley Road-Hurlinghum-Yaya Centre,Kencom,HURUMA 46 SACCO LTD
56,Town-Yaya-Congo-Kanungaga,Railways,UNMATCHED
7C,Kencom-Community-Equity Center-Kenyatta National Hospital,Kencom,UNMATCHED
1,Karen-Karinde-Dagoretti Market,Karen,UNMATCHED
2,Railways-Ngong Road-Kawangware-Dagoretti Market,Railways,NGONG TRAVELLERS SACCO
3U/3,Dagoretti Corner-Naivasha Road-Uthiru,Dagoretti Corner,UNMATCHED
5,Town-Kenyatta-Adams-Jamhuri,Kencom,UNMATCHED
8,Railways-Ngong Road-Kibera,Railways,HIGHRISE KIBERA SACCO | NGONG TRAVELLERS SACCO
32A,Kencom-Community-KNH-Ngong Road-Ayani,Kencom,NGONG TRAVELLERS SACCO
33NG,Racecourse Road-Ngong Road-KNH-Ngumo,Racecourse Road,NGONG TRAVELLERS SACCO | NGUMO-LINE SACCO LTD
33SB,Ngumo-Highrise-Nairobi West-Couth C-South B,Ngumo,12C TRANSPORT SACCO LTD | INDIMA (NJE) SACCO | NGUMO-LINE SACCO LTD
34L,Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,KNH,NGUMO-LINE SACCO LTD
48,Yaya-Kasuku-Westlands,Yaya,WALOKANA MULTIPURPOSE SACCO LTD
4W,Railways-Ngong Road-Wanyee-Kaberia,Kencom/Ambassadeur,NGONG TRAVELLERS SACCO
102,Railways-NgongRoad-Kawangware-Kikuyu,Railways,NGONG TRAVELLERS SACCO
103,Dagoretti Market-Uthiru-Kinoo-Wangige,Dagoretti Corner,LOPHA MULTIPURPOSE CO-OP SOCIETY
111,Railways-Ngong Road-Karen-Ngong,Railways,NGONG TRAVELLERS SACCO
126N,Ngong-Kiserian,Ngong,NGONG TRAVELLERS SACCO
129,Kikuyu-Magu-Kingeero-Wangige,Kikuyu,LOPHA MULTIPURPOSE CO-OP SOCIETY
24C,Kencom-Valley Road-Ngong Road-Karen-Hardy,Kencom,NGONG TRAVELLERS SACCO
046P,"Ambassadeur,Kabete,Kawangware",Kawangware,UNMATCHED
23KG,Odeon-Chiromo-Westlands-Kangemi,Odeon,KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD
30,Odeon-Westlands-Kangemi-Uthiru,Odeon,KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD
48O,Odeon-Chiromo-Kileleshwa-Othaya Road,Odeon,UNMATCHED
48K,Westlands-ABC Place-Lavington-Kawangware,Westlands,WALOKANA MULTIPURPOSE SACCO LTD
105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,Kikuyu,KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD
114W,Ngara-Westlands-Kangemi-Limuru,Ngara,FIG KOMBA | KANGEMI MATATU OWNERS SACCO | LIKANA ROUTE 114/115 SACCO LTD | WALOKANA MULTIPURPOSE SACCO LTD
115,Koja-Westlands-Kangemi-Limuru,Koja,KANGEMI MATATU OWNERS SACCO | LIKANA ROUTE 114/115 SACCO LTD | WALOKANA MULTIPURPOSE SACCO LTD
118,Koja-Westlands-Kabete-Wangige,Koja,LOPHA MULTIPURPOSE CO-OP SOCIETY | WALOKANA MULTIPURPOSE SACCO LTD
119,Koja-Westgate-Wangige,Koja,LOPHA MULTIPURPOSE CO-OP SOCIETY
48A,Odeon-Chiromo-Strathmore School-Lavington,Odeon,UNMATCHED
48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,Odeon,WALOKANA MULTIPURPOSE SACCO LTD
48C,Odeon-Chiromo-Westlands-ByPass-Yaya,Odeon,WALOKANA MULTIPURPOSE SACCO LTD
119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,Koja,WALOKANA MULTIPURPOSE SACCO LTD
135,Kaka-Westlands-Kangemi-Limuru,Kaka,KAKA TRAVELLERS SACCO LTD | KANGEMI MATATU OWNERS SACCO | LIKANA ROUTE 114/115 SACCO LTD | WALOKANA MULTIPURPOSE SACCO LTD
