route_name,route_long,headsign,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source,saccos
58,Ambassadeur-Jogoo Road-Buruburu,Ambassadeur,-1.277606,36.877316,-1.284403,36.82607,5.75,100,survey (2026 actual),BURUBURU 58 TRAVELLERS SACCO LTD | CBET SACCO
17A,Rounda-Umoja 2-Kayole,Rounda,-1.262956,36.879323,-1.262328,36.919293,4.44,60,calibrated (x0.906),FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD | UMOINNER SACCO LTD
19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,Town,-1.266534,36.915972,-1.28591,36.827652,10.05,100,survey (2026 actual),CBET SACCO
19C2,Donholm-Caltex-Komarocks,Donholm,-1.266668,36.915983,-1.296639,36.885883,4.72,60,calibrated (x0.906),UNMATCHED
34B,Ambassadeur-Donholm-Jacaranda,Ambassadeur,-1.287643,36.904702,-1.285669,36.82489,8.88,60,calibrated (x0.906),UNMATCHED
69,Muthurwa-Hillocks-GM,Muthurwa,-1.328391,36.870262,-1.287981,36.833875,6.05,60,calibrated (x0.906),HIMOSA TRAVELLERS SACCO
405,City Stadium-Nyayo Stadium,City Stadium,-1.304176,36.827782,-1.293365,36.840767,1.88,40,calibrated (x0.906),UNMATCHED
1960,OTC-Donholm-Kayole,Kamukunji,-1.262215,36.919577,-1.284376,36.832786,9.96,60,calibrated (x0.906),FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,OTC,-1.262103,36.919443,-1.284381,36.83284,9.94,60,calibrated (x0.906),CBET SACCO | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
1961Kd,Caltex Donholm-Jacaranda-Kayole,Donholm,-1.269892,36.920065,-1.300968,36.888217,4.95,60,calibrated (x0.906),FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
35/60,Town-Donholm-Umoja,Tusker,-1.283775,36.887096,-1.285488,36.82835,6.53,60,calibrated (x0.906),UMOINNER SACCO LTD
3560_2,Donholm-Mutindwa-Umoja 2,Donholm,-1.279247,36.898162,-1.296945,36.886886,2.33,60,calibrated (x0.906),UMOINNER SACCO LTD
39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Tusker,-1.259603,36.912491,-1.285526,36.828274,9.8,70,survey (2026 actual),CBET SACCO | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
38/39,Town-Donholm-Njiru-Ruai,Muthurwa,-1.271206,36.996873,-1.288115,36.833897,18.21,60,calibrated (x0.906),HIMOSA TRAVELLERS SACCO
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,Muthurwa,-1.300212,36.885749,-1.287981,36.833875,5.92,40,calibrated (x0.906),HIMOSA TRAVELLERS SACCO
11,Bus Station-Industrial Area-South B-Hazina,Bus Station,-1.315629,36.848472,-1.287203,36.828908,3.84,40,calibrated (x0.906),12C TRANSPORT SACCO LTD | INDIMA (NJE) SACCO
11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Bus Station,-1.320806,36.849282,-1.287219,36.828913,4.37,40,calibrated (x0.906),12C TRANSPORT SACCO LTD | INDIMA (NJE) SACCO
15,Bus Station-Nyayo Stadium-Wilson-Langata,Bus Station,-1.321809,36.774486,-1.287176,36.829026,7.18,50,survey (2026 actual),UNMATCHED
16,Bus Station-Nyayo Stadium-T Mall-Highrise,Bus Station,-1.31454,36.807954,-1.287155,36.828929,3.84,40,calibrated (x0.906),UNMATCHED
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Karen,-1.286108,36.826038,-1.323187,36.708047,13.75,100,survey (2026 actual),SUPER METRO | KBS | CITY STAR SHUTTLE | CITI HOPPA | NMOA SACCO | ASTRABELL LIMITED | COMPLIANT MANAGEMENT SACCO
24BK,Bomas-Karen Hospital-Karen,Bomas,-1.322064,36.707893,-1.342349,36.764325,6.67,50,survey (2026 actual),UNMATCHED
33IMR,Commercial-Belleview-Imara Daima,Commercial,-1.325178,36.880819,-1.284178,36.826206,7.59,60,calibrated (x0.906),UNMATCHED
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,Commercial,-1.323643,36.899632,-1.284145,36.826285,9.26,100,survey (2026 actual),INDIMA (NJE) SACCO
33J,Cabanas-Utawala-Githunguri,Cabanas,-1.286511,36.982464,-1.335853,36.893211,11.34,150,calibrated (x0.906),KANI TRANSPORT SACCO LTD | TAWALA UTAWALA SACCO
33H,Cabanas-Utawala-Bypass,Cabanas,-1.264171,36.983013,-1.335665,36.893136,12.77,60,calibrated (x0.906),KANI TRANSPORT SACCO LTD | TAWALA UTAWALA SACCO
33UTW,Utawala-Ambassadeur,Ambassadeur,-1.284102,36.988869,-1.285411,36.825802,18.13,100,survey (2026 actual),KANI TRANSPORT SACCO LTD | TAWALA UTAWALA SACCO
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,Commercial,-1.32472,36.888931,-1.287235,36.828908,7.87,60,calibrated (x0.906),INDIMA (NJE) SACCO
110,Railways-Mombasa Road-Mlolongo-Kitengela,Railways Uchumi,-1.477141,36.957879,-1.288798,36.828712,25.39,150,survey (2026 actual),INDIMA (NJE) SACCO
110AK,Athi River-Makadara-Kitengela,Devki Athiriver,-1.477189,36.958031,-1.444069,36.989384,5.07,150,calibrated (x0.906),UNMATCHED
110ATH,Railways-Mombasa Road-Devki-Makadara,Railways Uchumi,-1.457303,36.974557,-1.289188,36.828269,24.78,150,calibrated (x0.906),INDIMA (NJE) SACCO
125,Railways-Langata Road-Bomas-Ongata Rongai,Railways,-1.396543,36.74966,-1.291033,36.828285,14.63,100,survey (2026 actual),NMOA SACCO | ASTRABELL LIMITED | KILELE SHUTTLES LIMITED
126,Railways-Langata Road-Ongata Rongai-Kiserian,Railways,-1.429671,36.687119,-1.291054,36.828296,22.0,200,calibrated (x0.906),SUPER METRO | NMOA SACCO | ASTRABELL LIMITED | KILELE SHUTTLES LIMITED
126RK,Ongata Rongai-Nkoroi-Kiserian,Ongata Rongai,-1.42951,36.685807,-1.397012,36.759878,8.99,50,survey (2026 actual),UNMATCHED
12C,Bus Station-Red Cross-Mugoya,Bus Station,-1.321511,36.828972,-1.28719,36.828884,3.82,40,calibrated (x0.906),12C TRANSPORT SACCO LTD
12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,Bus Station,-1.326948,36.842367,-1.287294,36.829074,4.65,40,calibrated (x0.906),12C TRANSPORT SACCO LTD
145B,Bypass-Ruiru Ndani-Ruiru,Bypass,-1.147529,36.959231,-1.264138,36.983035,13.23,150,calibrated (x0.906),LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
14A,Bus Station-Nairobi West-Madaraka-Strathmore,Bus Station,-1.308644,36.812444,-1.287179,36.828907,3.01,40,calibrated (x0.906),UNMATCHED
14B,Bus Station-Nairobi West-TMall,Bus Station,-1.312939,36.816689,-1.287179,36.828907,3.17,40,calibrated (x0.906),UNMATCHED
33FED,Commercial-Cabanas-Tuskys-Village-Gate A-Posta,Commercial,-1.308319,36.911465,-1.284129,36.826279,9.84,60,calibrated (x0.906),UNMATCHED
33B,Commercial-Cabanas-Baraka,Commercial,-1.298102,36.912701,-1.284255,36.826157,9.74,60,calibrated (x0.906),UNMATCHED
46K,Kencom-Valley Road-Yaya Centre-Kawangware,Kencom,-1.283914,36.742599,-1.285722,36.824697,9.13,40,calibrated (x0.906),HURUMA 46 SACCO LTD
46Y,Kencom-Valley Road-Hurlinghum-Yaya Centre,Kencom,-1.292314,36.787628,-1.285722,36.824707,4.19,40,calibrated (x0.906),HURUMA 46 SACCO LTD
56,Town-Yaya-Congo-Kanungaga,Railways,-1.278534,36.750936,-1.290759,36.828291,8.71,40,calibrated (x0.906),UNMATCHED
7C,Kencom-Community-Equity Center-Kenyatta National Hospital,Kencom,-1.300898,36.808437,-1.28569,36.82475,2.48,40,calibrated (x0.906),UNMATCHED
1,Karen-Karinde-Dagoretti Market,Karen,-1.28768,36.686311,-1.321208,36.706395,4.35,100,calibrated (x0.906),UNMATCHED
2,Railways-Ngong Road-Kawangware-Dagoretti Market,Railways,-1.286543,36.686718,-1.290534,36.828017,15.71,150,calibrated (x0.906),NGONG TRAVELLERS SACCO
3U/3,Dagoretti Corner-Naivasha Road-Uthiru,Dagoretti Corner,-1.261386,36.716919,-1.298436,36.759878,6.31,100,calibrated (x0.906),UNMATCHED
5,Town-Kenyatta-Adams-Jamhuri,Kencom,-1.303988,36.769148,-1.285701,36.824702,6.5,60,calibrated (x0.906),UNMATCHED
8,Railways-Ngong Road-Kibera,Railways,-1.311058,36.775784,-1.290497,36.828012,6.24,150,calibrated (x0.906),HIGHRISE KIBERA SACCO | NGONG TRAVELLERS SACCO
32A,Kencom-Community-KNH-Ngong Road-Ayani,Kencom,-1.307902,36.772747,-1.285701,36.824756,6.29,40,calibrated (x0.906),NGONG TRAVELLERS SACCO
33NG,Racecourse Road-Ngong Road-KNH-Ngumo,Racecourse Road,-1.309848,36.798908,-1.286017,36.829702,4.33,150,calibrated (x0.906),NGONG TRAVELLERS SACCO | NGUMO-LINE SACCO LTD
33SB,Ngumo-Highrise-Nairobi West-Couth C-South B,Ngumo,-1.311586,36.83535,-1.307611,36.802895,3.63,40,calibrated (x0.906),12C TRANSPORT SACCO LTD | INDIMA (NJE) SACCO | NGUMO-LINE SACCO LTD
34L,Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,KNH,-1.327248,36.788991,-1.297529,36.804671,3.74,150,calibrated (x0.906),NGUMO-LINE SACCO LTD
48,Yaya-Kasuku-Westlands,Yaya,-1.26567,36.801077,-1.291859,36.787162,3.3,40,calibrated (x0.906),WALOKANA MULTIPURPOSE SACCO LTD
48,Yaya-Kasuku-Westlands,Westlands,-1.29158,36.787049,-1.265633,36.800884,3.27,40,calibrated (x0.906),WALOKANA MULTIPURPOSE SACCO LTD
4W,Railways-Ngong Road-Wanyee-Kaberia,Kencom/Ambassadeur,-1.290502,36.729001,-1.28562,36.82489,10.67,150,calibrated (x0.906),NGONG TRAVELLERS SACCO
102,Railways-NgongRoad-Kawangware-Kikuyu,Railways,-1.246551,36.665035,-1.290518,36.828033,18.77,150,calibrated (x0.906),NGONG TRAVELLERS SACCO
103,Dagoretti Market-Uthiru-Kinoo-Wangige,Dagoretti Corner,-1.219091,36.71243,-1.298447,36.7599,10.28,100,calibrated (x0.906),LOPHA MULTIPURPOSE CO-OP SOCIETY
111,Railways-Ngong Road-Karen-Ngong,Railways,-1.360425,36.656025,-1.290443,36.827964,20.64,150,calibrated (x0.906),NGONG TRAVELLERS SACCO | NTVRS LIMITED | NMOA SACCO | ASTRABELL LIMITED | CITY SHUTTLE BUSES | KILELE SHUTTLES LIMITED | SUPER METRO | CITY STAR SHUTTLE | KBS | CITI HOPPA
126N,Ngong-Kiserian,Ngong,-1.428179,36.686615,-1.360488,36.656006,8.26,200,calibrated (x0.906),NGONG TRAVELLERS SACCO
129,Kikuyu-Magu-Kingeero-Wangige,Kikuyu,-1.219134,36.712387,-1.246685,36.665068,6.09,100,survey (2026 actual),LOPHA MULTIPURPOSE CO-OP SOCIETY
24C,Kencom-Valley Road-Ngong Road-Karen-Hardy,Kencom,-1.325279,36.709785,-1.28612,36.825939,13.63,80,survey (2026 actual),NGONG TRAVELLERS SACCO
046P,"Ambassadeur,Kabete,Kawangware",Ambassadeur,-1.285186,36.741623,-1.285284,36.825799,9.36,100,calibrated (x0.906),UNMATCHED
23KG,Odeon-Chiromo-Westlands-Kangemi,Odeon,-1.26498,36.749535,-1.282595,36.825002,8.62,50,survey (2026 actual),KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD
30,Odeon-Westlands-Kangemi-Uthiru,Odeon,-1.256943,36.723705,-1.282595,36.825008,11.62,40,calibrated (x0.906),KANGEMI MATATU OWNERS SACCO | WALOKANA MULTIPURPOSE SACCO LTD
