stop_id,stop_name,stop_lat,stop_lon,trip_count,routes
0110OLB,Blue Kiosk,-1.154766,36.672943,1,114R
0110OVL,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263241,36.825064,1,114R
0110PBS,Bypass,-1.204484,36.785515,1,106
0110PMA,Stima Plaza,-1.269994,36.820604,1,106
0110PMT,Pm Flats,-1.20375,36.77257,2,107 114R
0110/PU,UNEP/KTTC,-1.238447,36.810417,1,108
0110R/B,Belgian Embassy/Karura,-1.246905,36.815684,2,106 107
0110REU,Rwenu,-1.194506,36.735578,1,107
0110REV,Two Rivers,-1.212895,36.792424,2,107 114R
0110RID,Windsor Advice,-1.215743,36.849936,1,107D
0110RIS,Two Rivers,-1.211571,36.790791,1,116
0110RNO,Rossyln,-1.233918,36.802096,1,108
0110ROA,Wambugu Road,-1.268079,36.821239,1,11B
0110ROS,Rosslyn Total,-1.210406,36.789731,1,106
0110RRS,Two Rivers,-1.214472,36.79486,2,106 11B
0110RTC,Ruaka Quickmart,-1.20669,36.782358,1,107D
0110RTU,Kobil/Regal house/6th Parklands ave,-1.25802,36.827046,1,106
0110SAI,Stima Plaza,-1.272612,36.821001,1,106
0110SIH,Gasolina/Gichagi Mwisho,-1.219559,36.766718,1,108
0110SOI,Mimosa,-1.212092,36.804714,1,107D
0110SPU,St. Paul's University Limuru,-1.147694,36.665794,1,114R
0110SRT,Marurui Police Post,-1.21464,36.867856,1,107D
0110SSA,Canadian embassy,-1.241283,36.81334,1,106
0110TAA,Stima Plaza,-1.269752,36.820579,1,11B
0110TOH,Githogoro,-1.216534,36.825391,1,107D
0110TPA,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263229,36.825078,5,106 107 116 11A 11B
0110TUQ,Equity,-1.205161,36.777734,1,114R
0110TVM,Traveller's View Muchatha,-1.188491,36.771639,2,106 116
0110UMI,Mulima,-1.2204,36.76976,1,108
0110UMK,Mkulima supermarket,-1.175079,36.759251,1,106
0110UNA,UNEP/KTTC,-1.238033,36.80995,5,106 107 114R 116 11B
0110VKS,2nd Parklands Avenue,-1.264835,36.824412,1,11A
0110VMT,Village Market,-1.23006,36.80399,5,106 107 114R 116 11B
0110WAM,Kwa Jeki,-1.194574,36.779445,2,106 116
0110WOJ,Maziwa Junction,-1.193992,36.904538,1,107D
0110WRS,Two Rivers,-1.208242,36.797284,1,107D
0110YIL,OiLibya/2nd Parklands Avenue,-1.264248,36.824681,2,107 11B
0110YSP,City Park/5th Parklands Avenue,-1.261085,36.826027,1,107
01114IA,44 Githurai,-1.195441,36.902797,1,107D
0111A26,Lane 26,-1.202558,36.768097,1,114R
0111AAR,Ruaka,-1.207579,36.786271,1,106
0111ACP,Agha khan hospital junction/ 3rd parklands ave,-1.261895,36.825378,1,106
0111AES,Rosslyn Valley,-1.223201,36.802579,1,106
0111AIT,Muthaiga Mini Market,-1.250233,36.820788,1,107
0111AKA,Kwa Nyaga,-1.168399,36.696517,1,114R
0111AKS,Aga Khan Hospital Stage,-1.26237,36.82369,1,11A
0111ALA,Sahala,-1.206835,36.792778,1,107D
0111AMB,Ambassadors Stage,-1.19859,36.75619,2,107 114R
0111AMK,Kwa Mbao,-1.170485,36.705164,1,114R
0111ARD,Kwa Daktari,-1.18467,36.732568,1,114R
0111ATA,Total City Park,-1.259304,36.826738,1,106
0111AWM,Maziwa,-1.193209,36.905093,1,107D
0111AXM,Maxx,-1.181895,36.728435,1,114R
0111AYS,Gitambaya Police Post,-1.149768,36.948966,1,107D
0111BAA,Banana Terminus,-1.174015,36.75884,1,116
0111BAG,ACK Thibigwa,-1.181043,36.762086,1,106
