route_name,route_long,headsign,direction,start_lat,start_lon,end_lat,end_lon
48O,Odeon-Chiromo-Kileleshwa-Othaya Road,Odeon,0,-1.288636,36.773029,-1.282766,36.825067
48O,Odeon-Chiromo-Kileleshwa-Othaya Road,Othaya Road,1,-1.2826,36.825013,-1.288496,36.773059
48K,Westlands-ABC Place-Lavington-Kawangware,Westlands,0,-1.28929,36.753151,-1.262748,36.800365
48K,Westlands-ABC Place-Lavington-Kawangware,Kawangware,1,-1.262752,36.800348,-1.289284,36.753259
105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,Kikuyu,0,-1.282794,36.82505,-1.246648,36.665025
105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,Odeon,1,-1.246465,36.664714,-1.282769,36.825066
114W,Ngara-Westlands-Kangemi-Limuru,Ngara,0,-1.108482,36.643197,-1.274246,36.823345
114W,Ngara-Westlands-Kangemi-Limuru,Limuru,1,-1.274368,36.823322,-1.108664,36.643208
115,Koja-Westlands-Kangemi-Limuru,Koja,0,-1.108503,36.643218,-1.280959,36.822792
115,Koja-Westlands-Kangemi-Limuru,Limuru,1,-1.280985,36.822696,-1.108412,36.643175
118,Koja-Westlands-Kabete-Wangige,Koja,0,-1.219107,36.712403,-1.281116,36.82275
118,Koja-Westlands-Kabete-Wangige,Wangige,1,-1.281495,36.822631,-1.219123,36.712409
119,Koja-Westgate-Wangige,Koja,0,-1.219134,36.712334,-1.281388,36.822583
119,Koja-Westgate-Wangige,Wangige,1,-1.281458,36.822653,-1.219203,36.712468
48A,Odeon-Chiromo-Strathmore School-Lavington,Odeon,0,-1.280106,36.769057,-1.282584,36.825008
48A,Odeon-Chiromo-Strathmore School-Lavington,Lavington,1,-1.282584,36.825002,-1.280095,36.769057
48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,Odeon,0,-1.288636,36.773029,-1.2826,36.825019
48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,Othaya Road,1,-1.28274,36.825067,-1.288603,36.773021
48C,Odeon-Chiromo-Westlands-ByPass-Yaya,Odeon,0,-1.291662,36.78709,-1.282738,36.825024
48C,Odeon-Chiromo-Westlands-ByPass-Yaya,Yaya,1,-1.2826,36.825008,-1.291602,36.78714
119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,Koja,0,-1.219102,36.738802,-1.281388,36.822567
119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,Gathiga,1,-1.28149,36.822674,-1.219075,36.738667
135,Kaka-Westlands-Kangemi-Limuru,Kaka,0,-1.108561,36.643231,-1.285635,36.830776
135,Kaka-Westlands-Kangemi-Limuru,Limuru,1,-1.285583,36.830796,-1.108561,36.643231
